Date,Ticker,Company,Year,QTR,Sent_Neg,Sent_Neu,Sent_Pos,Price_DayPrior,Price_DayOf,Price_DayAfter,Price_2DaysAfter,VOL_DayPrior,VOL_DayOf,VOL_DayAfter,VOL_2DaysAfter,PerCngNeg,PerCngNeu,PerCngPos,PRICE_PerCng_PriorEarnings,PRICE_PerCng_DayPrior,PRICE_PerCng_DayAfter,PRICE_PerCng_2DaysAfter,VOL_PerCng_PriorEarnings,VOL_PerCng_DayPrior,VOL_PerCng_DayAfter,VOL_PerCng_2DaysAfter
10/15/19,GS,Goldman Sachs,2019,Q3,0.018,0.845,0.136,205.82,206.46,207.42,206.46,2.29,8.24,3.41,2.88,-0.28,-0.021,0.214,-0.042,0.003,0.005, -   ,56.00%,260.52%,-58.68%,-65.10%
7/16/19,GS,Goldman Sachs,2019,Q2,0.025,0.863,0.112,211.58,215.52,213.3,214.52,2.6,5.28,2.58,2.86,0.25,-0.005,-0.009,0.078,0.019,-0.01,-0.005,-20.20%,103.20%,-51.10%,-45.89%
4/15/19,GS,Goldman Sachs,2019,Q1,0.02,0.867,0.113,207.84,199.91,201.84,207.9,5.1,6.62,4.85,4.2,-0.048,0.012,-0.066,0.014,-0.038,0.01,0.04,-56.40%,29.84%,-26.67%,-36.60%
1/16/19,GS,Goldman Sachs,2018,Q4,0.021,0.857,0.121,179.91,197.08,199.09,202.54,2.91,15.19,8.18,5.65,0.313,0.017,-0.148,-0.111,0.095,0.01,0.028,156.50%,421.81%,-46.18%,-62.81%
10/16/18,GS,Goldman Sachs,2018,Q3,0.016,0.843,0.142,215.22,221.7,228.28,224.95,3.33,5.92,4.95,3,-0.2,0.001,0.029,-0.04,0.03,0.03,0.015,-36.20%,77.70%,-16.38%,-49.44%
7/17/18,GS,Goldman Sachs,2018,Q2,0.02,0.842,0.138,231.44,231.02,231.24,229.63,3.27,9.28,6.15,4.64,-0.048,0.014,-0.074,-0.089,-0.002,0.001,-0.006,-8.40%,183.69%,-33.73%,-50.02%
4/17/18,GS,Goldman Sachs,2018,Q1,0.021,0.83,0.149,257.88,253.63,254,254.17,3.26,10.13,4.52,3.99,0.05,-0.055,0.475,0,-0.016,0.001,0.002,17.70%,211.12%,-55.35%,-60.63%
1/17/18,GS,Goldman Sachs,2017,Q4,0.02,0.878,0.101,258.46,253.65,250.97,256.12,4.45,8.61,4.98,4.64,0.176,0.026,-0.205,0.074,-0.019,-0.011,0.01,21.40%,93.64%,-42.10%,-46.06%
10/17/17,GS,Goldman Sachs,2017,Q3,0.017,0.856,0.127,242.41,236.09,242.03,239.99,2.97,7.09,4.24,2.71,-0.469,0.019,-0.008,0.057,-0.026,0.025,0.017,10.70%,138.73%,-40.24%,-61.76%
7/18/17,GS,Goldman Sachs,2017,Q2,0.032,0.84,0.128,229.26,223.31,222.87,222.3,2.55,6.4,4.88,3.5, -   ,0.018,-0.105,0.036,-0.026,-0.002,-0.005,-48.60%,150.83%,-23.69%,-45.35%
4/18/17,GS,Goldman Sachs,2017,Q1,0.032,0.825,0.143,226.26,215.59,214.09,218.06,4.19,12.46,6.43,5.17,0.333,-0.012,0.021,-0.08,-0.047,-0.007,0.011,64.20%,197.41%,-48.42%,-58.53%
1/18/17,GS,Goldman Sachs,2016,Q4,0.024,0.835,0.14,235.74,234.29,231.41,232.2,6.28,7.59,4.56,5.21,0.091,-0.009,0.037,0.357,-0.006,-0.012,-0.009,69.30%,20.92%,-39.90%,-31.34%
10/18/16,GS,Goldman Sachs,2016,Q3,0.022,0.843,0.135,169,172.63,174.51,174.51,3.06,4.48,3.68,2.47,-0.083,-0.024,0.205,0.07,0.021,0.011,0.011,-17.00%,46.42%,-17.99%,-44.87%
7/19/16,GS,Goldman Sachs,2016,Q2,0.024,0.864,0.112,163.33,161.41,161.77,160.05,4.73,5.4,3.55,2.86,-0.226,0.029,-0.132,-0.008,-0.012,0.002,-0.008,-7.40%,14.05%,-34.30%,-47.12%
4/19/16,GS,Goldman Sachs,2016,Q1,0.031,0.84,0.129,159.02,162.65,166.98,165.32,3.03,5.83,4.8,4.17,0.069,-0.027,0.206,0.058,0.023,0.027,0.016,-37.80%,92.39%,-17.66%,-28.58%
1/20/16,GS,Goldman Sachs,2015,Q4,0.029,0.863,0.107,156.82,153.75,151.65,156.86,5.86,9.37,5.74,5.58,0.074,0.023,-0.171,-0.169,-0.02,-0.014,0.02,63.80%,59.87%,-38.75%,-40.40%
10/15/15,GS,Goldman Sachs,2015,Q3,0.027,0.844,0.129,179.51,184.96,185.18,185.74,3.25,5.72,2.98,2.67,0.08,-0.009,0.049,-0.124,0.03,0.001,0.004,29.80%,75.89%,-47.95%,-53.40%
7/16/15,GS,Goldman Sachs,2015,Q2,0.025,0.852,0.123,212.96,211.18,212.46,212.39,2.54,4.41,2.85,2.18,0.316,0.002,-0.061,0.055,-0.008,0.006,0.006,-26.30%,73.66%,-35.33%,-50.62%
