Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,1.565972,1.565972,1.541667,1.545139,0.259233,475200
1970-01-05,1.545139,1.555556,1.531250,1.536458,0.257776,669600
1970-01-06,1.536458,1.548611,1.527778,1.548611,0.259815,568800
1970-01-07,1.548611,1.562500,1.531250,1.534722,0.257485,892800
1970-01-08,1.538194,1.555556,1.538194,1.545139,0.259233,496800
1970-01-09,1.545139,1.559028,1.527778,1.541667,0.258650,1634400
1970-01-12,1.541667,1.550347,1.534722,1.541667,0.258650,648000
1970-01-13,1.541667,1.545139,1.520833,1.538194,0.258068,1159200
1970-01-14,1.534722,1.534722,1.517361,1.534722,0.257485,525600
1970-01-15,1.534722,1.548611,1.520833,1.527778,0.256320,1058400
1970-01-16,1.527778,1.545139,1.513889,1.527778,0.256320,1720800
1970-01-19,1.520833,1.520833,1.500000,1.506944,0.252825,3110400
1970-01-20,1.506944,1.517361,1.503472,1.517361,0.254572,871200
1970-01-21,1.517361,1.532986,1.513889,1.527778,0.256320,1044000
1970-01-22,1.520833,1.520833,1.506944,1.520833,0.255155,792000
1970-01-23,1.520833,1.532986,1.506944,1.513889,0.253990,972000
1970-01-26,1.500000,1.500000,1.451389,1.451389,0.243504,1252800
1970-01-27,1.451389,1.465278,1.434028,1.458333,0.244669,1605600
1970-01-28,1.451389,1.451389,1.430556,1.434028,0.240591,914400
1970-01-29,1.434028,1.440972,1.375000,1.416667,0.237678,1216800
1970-01-30,1.416667,1.454861,1.402778,1.402778,0.235348,1454400
1970-02-02,1.416667,1.428819,1.416667,1.423611,0.238844,813600
1970-02-03,1.440972,1.520833,1.440972,1.520833,0.255155,2181600
1970-02-04,1.513889,1.513889,1.458333,1.479167,0.248165,1476000
1970-02-05,1.486111,1.498264,1.486111,1.496528,0.251077,489600
1970-02-06,1.496528,1.498264,1.468750,1.479167,0.248165,302400
1970-02-09,1.489583,1.506944,1.489583,1.500000,0.251660,784800
1970-02-10,1.500000,1.513889,1.489583,1.493056,0.250495,439200
1970-02-11,1.493056,1.500000,1.486111,1.500000,0.251660,367200
1970-02-12,1.506944,1.524306,1.506944,1.510417,0.253407,590400
1970-02-13,1.517361,1.527778,1.517361,1.524306,0.255737,597600
1970-02-16,1.524306,1.545139,1.524306,1.532986,0.257194,698400
1970-02-17,1.532986,1.539931,1.522569,1.529514,0.256611,1641600
1970-02-18,1.520833,1.520833,1.496528,1.505208,0.252533,1713600
1970-02-19,1.505208,1.510417,1.494792,1.506944,0.252825,921600
1970-02-20,1.506944,1.527778,1.500000,1.524306,0.255737,1274400
1970-02-24,1.531250,1.555556,1.531250,1.550347,0.260106,770400
1970-02-25,1.550347,1.559028,1.534722,1.559028,0.261563,1346400
1970-02-26,1.559028,1.560764,1.520833,1.520833,0.255155,2030400
1970-02-27,1.520833,1.520833,1.482639,1.513889,0.253990,1447200
1970-03-02,1.513889,1.524306,1.482639,1.493056,0.250495,583200
1970-03-03,1.493056,1.503472,1.479167,1.496528,0.251077,1288800
1970-03-04,1.496528,1.506944,1.489583,1.489583,0.249912,792000
1970-03-05,1.489583,1.500000,1.475694,1.475694,0.247582,532800
1970-03-06,1.479167,1.486111,1.479167,1.480903,0.248456,432000
1970-03-09,1.475694,1.475694,1.461806,1.468750,0.246417,669600
1970-03-10,1.468750,1.479167,1.416667,1.451389,0.243504,1195200
1970-03-11,1.451389,1.451389,1.430556,1.444444,0.242339,979200
1970-03-12,1.437500,1.437500,1.395833,1.416667,0.237678,1339200
1970-03-13,1.383681,1.383681,1.355903,1.368056,0.229523,3304800
1970-03-16,1.364583,1.364583,1.348958,1.350694,0.226610,1706400
1970-03-17,1.350694,1.361111,1.348958,1.361111,0.228358,1094400
1970-03-18,1.371528,1.406250,1.371528,1.406250,0.235931,1461600
