Ticker,Date,Pos,Neu,Neg,Normalized
A,2019-08-14,0.101,0.884,0.014,1
AAL,2019-10-24,0.133,0.847,0.02,1
AAP,2019-11-12,0.121,0.863,0.015,1
AAPL,2019-10-30,0.13,0.851,0.018,1
ABBV,2019-11-01,0.118,0.862,0.02,1
ABC,2019-11-07,0.173,0.81,0.017,1
ABMD,2019-10-31,0.128,0.841,0.031,1
ABT,2019-10-16,0.138,0.843,0.02,1
ACN,2019-09-26,0.135,0.859,0.007,1
ADBE,2019-09-17,0.134,0.855,0.011,1
ADI,2019-08-21,0.124,0.851,0.025,1
ADM,2019-10-31,0.107,0.868,0.025,1
ADP,2019-10-30,0.11,0.871,0.019,1
ADS,2019-10-24,0.127,0.85,0.024,1
ADSK,2019-08-27,0.121,0.867,0.012,1
AEE,2019-11-08,0.126,0.864,0.01,1
AEP,2019-10-24,0.129,0.857,0.014,1
AES,2019-11-06,0.112,0.87,0.018,1
AFL,2019-10-24,0.087,0.89,0.022,1
AIG,2019-11-01,0.113,0.843,0.044,1
AIV,2019-10-31,0.112,0.867,0.022,1
AIZ,2019-11-05,0.113,0.867,0.02,1
AJG,2019-10-24,0.138,0.836,0.025,1
AKAM,2019-10-28,0.146,0.833,0.022,1
ALB,2019-11-06,0.104,0.876,0.021,1
ALGN,2019-10-23,0.084,0.899,0.017,1
ALK,2019-10-24,0.138,0.847,0.015,1
ALL,2019-10-29,0.117,0.856,0.027,1
ALLE,2019-10-24,0.114,0.871,0.015,1
ALXN,2019-10-23,0.128,0.856,0.015,1
AMAT,2019-11-14,0.099,0.882,0.019,1
AMCR,2019-08-20,0.125,0.861,0.015,1
AMD,2019-10-29,0.124,0.864,0.013,1
AME,2019-10-31,0.123,0.86,0.017,1
AMG,2019-10-28,0.161,0.827,0.012,1
AMGN,2019-10-29,0.106,0.876,0.018,1
AMP,2019-10-23,0.147,0.837,0.017,1
AMT,2019-10-31,0.105,0.877,0.018,1
AMZN,2019-10-24,0.125,0.861,0.014,1
ANET,2019-10-31,0.08,0.898,0.022,1
ANSS,2019-11-06,0.143,0.842,0.015,1
ANTM,2019-10-23,0.158,0.828,0.014,1
